profile_id,job_id,relevance,split,rationale
P01,J01,,development,
P01,J02,,development,
P01,J03,,development,
P01,J04,,development,
P01,J05,,development,
P01,J06,,development,
P01,J07,,development,
P01,J08,,development,
P01,J09,,development,
P01,J10,,development,
P01,J11,,development,
P01,J12,,development,
P01,J13,,development,
P01,J14,,development,
P01,J15,,development,
P01,J16,,development,
P01,J17,,development,
P01,J18,,development,
P01,J19,,development,
P01,J20,,development,
P01,J21,,development,
P01,J22,,development,
P01,J23,,development,
P01,J24,,development,
P01,J25,,development,
P01,J26,,development,
P01,J27,,development,
P01,J28,,development,
P01,J29,,development,
P01,J30,,development,
P02,J01,,development,
P02,J02,,development,
P02,J03,,development,
P02,J04,,development,
P02,J05,,development,
P02,J06,,development,
P02,J07,,development,
P02,J08,,development,
P02,J09,,development,
P02,J10,,development,
P02,J11,,development,
P02,J12,,development,
P02,J13,,development,
P02,J14,,development,
P02,J15,,development,
P02,J16,,development,
P02,J17,,development,
P02,J18,,development,
P02,J19,,development,
P02,J20,,development,
P02,J21,,development,
P02,J22,,development,
P02,J23,,development,
P02,J24,,development,
P02,J25,,development,
P02,J26,,development,
P02,J27,,development,
P02,J28,,development,
P02,J29,,development,
P02,J30,,development,
P03,J01,,development,
P03,J02,,development,
P03,J03,,development,
P03,J04,,development,
P03,J05,,development,
P03,J06,,development,
P03,J07,,development,
P03,J08,,development,
P03,J09,,development,
P03,J10,,development,
P03,J11,,development,
P03,J12,,development,
P03,J13,,development,
P03,J14,,development,
P03,J15,,development,
P03,J16,,development,
P03,J17,,development,
P03,J18,,development,
P03,J19,,development,
P03,J20,,development,
P03,J21,,development,
P03,J22,,development,
P03,J23,,development,
P03,J24,,development,
P03,J25,,development,
P03,J26,,development,
P03,J27,,development,
P03,J28,,development,
P03,J29,,development,
P03,J30,,development,
P04,J01,,development,
P04,J02,,development,
P04,J03,,development,
P04,J04,,development,
P04,J05,,development,
P04,J06,,development,
P04,J07,,development,
P04,J08,,development,
P04,J09,,development,
P04,J10,,development,
P04,J11,,development,
P04,J12,,development,
P04,J13,,development,
P04,J14,,development,
P04,J15,,development,
P04,J16,,development,
P04,J17,,development,
P04,J18,,development,
P04,J19,,development,
P04,J20,,development,
P04,J21,,development,
P04,J22,,development,
P04,J23,,development,
P04,J24,,development,
P04,J25,,development,
P04,J26,,development,
P04,J27,,development,
P04,J28,,development,
P04,J29,,development,
P04,J30,,development,
P05,J01,,development,
P05,J02,,development,
P05,J03,,development,
P05,J04,,development,
P05,J05,,development,
P05,J06,,development,
P05,J07,,development,
P05,J08,,development,
P05,J09,,development,
P05,J10,,development,
P05,J11,,development,
P05,J12,,development,
P05,J13,,development,
P05,J14,,development,
P05,J15,,development,
P05,J16,,development,
P05,J17,,development,
P05,J18,,development,
P05,J19,,development,
P05,J20,,development,
P05,J21,,development,
P05,J22,,development,
P05,J23,,development,
P05,J24,,development,
P05,J25,,development,
P05,J26,,development,
P05,J27,,development,
P05,J28,,development,
P05,J29,,development,
P05,J30,,development,
P06,J01,,held_out,
P06,J02,,held_out,
P06,J03,,held_out,
P06,J04,,held_out,
P06,J05,,held_out,
P06,J06,,held_out,
P06,J07,,held_out,
P06,J08,,held_out,
P06,J09,,held_out,
P06,J10,,held_out,
P06,J11,,held_out,
P06,J12,,held_out,
P06,J13,,held_out,
P06,J14,,held_out,
P06,J15,,held_out,
P06,J16,,held_out,
P06,J17,,held_out,
P06,J18,,held_out,
P06,J19,,held_out,
P06,J20,,held_out,
P06,J21,,held_out,
P06,J22,,held_out,
P06,J23,,held_out,
P06,J24,,held_out,
P06,J25,,held_out,
P06,J26,,held_out,
P06,J27,,held_out,
P06,J28,,held_out,
P06,J29,,held_out,
P06,J30,,held_out,
P07,J01,,held_out,
P07,J02,,held_out,
P07,J03,,held_out,
P07,J04,,held_out,
P07,J05,,held_out,
P07,J06,,held_out,
P07,J07,,held_out,
P07,J08,,held_out,
P07,J09,,held_out,
P07,J10,,held_out,
P07,J11,,held_out,
P07,J12,,held_out,
P07,J13,,held_out,
P07,J14,,held_out,
P07,J15,,held_out,
P07,J16,,held_out,
P07,J17,,held_out,
P07,J18,,held_out,
P07,J19,,held_out,
P07,J20,,held_out,
P07,J21,,held_out,
P07,J22,,held_out,
P07,J23,,held_out,
P07,J24,,held_out,
P07,J25,,held_out,
P07,J26,,held_out,
P07,J27,,held_out,
P07,J28,,held_out,
P07,J29,,held_out,
P07,J30,,held_out,
P08,J01,,held_out,
P08,J02,,held_out,
P08,J03,,held_out,
P08,J04,,held_out,
