profile_id,job_id,relevance,split,rationale
P01,J01,2,development,"Flask booking service with SQL and pytest covers API, SQL and automated-test requirements directly (wording differs: 'exposing endpoints')."
P01,J02,2,development,Spring Boot coursework service with dependency injection and REST endpoints covers all three Java requirements.
P01,J03,0,development,No direct evidence for the full-stack web job's core requirements; profile focus is backend and web services.
P01,J04,0,development,No direct evidence for the cloud/DevOps job's core requirements; profile focus is backend and web services.
P01,J05,0,development,No direct evidence for the Android job's core requirements; profile focus is backend and web services.
P01,J06,1,development,SQL joins/availability queries are relevant to the first requirement; no charts/dashboards or statistics explanation.
P01,J07,2,development,"Nightly Python CSV cleaner loading PostgreSQL via cron covers scripts, SQL load and scheduling."
P01,J08,0,development,No direct evidence for the NLP machine learning job's core requirements; profile focus is backend and web services.
P01,J09,0,development,No direct evidence for the computer vision job's core requirements; profile focus is backend and web services.
P01,J10,0,development,No direct evidence for the BI dashboards job's core requirements; profile focus is backend and web services.
P01,J11,0,development,No direct evidence for the forecasting/statistics job's core requirements; profile focus is backend and web services.
P01,J12,0,development,No direct evidence for the security operations job's core requirements; profile focus is backend and web services.
P01,J13,0,development,No direct evidence for the embedded firmware job's core requirements; profile focus is backend and web services.
P01,J14,1,development,Wrote pytest cases (test-script requirement); no defect-reporting evidence and the role is UI/browser testing focused.
P01,J15,0,development,No direct evidence for the digital marketing job's core requirements; profile focus is backend and web services.
P01,J16,0,development,No direct evidence for the social/video content job's core requirements; profile focus is backend and web services.
P01,J17,0,development,No direct evidence for the financial modelling job's core requirements; profile focus is backend and web services.
P01,J18,0,development,No direct evidence for the audit job's core requirements; profile focus is backend and web services.
P01,J19,0,development,No direct evidence for the HR/recruiting job's core requirements; profile focus is backend and web services.
P01,J20,0,development,No direct evidence for the UX design job's core requirements; profile focus is backend and web services.
P01,J21,0,development,No direct evidence for the graphic design job's core requirements; profile focus is backend and web services.
P01,J22,0,development,No direct evidence for the mechanical CAD job's core requirements; profile focus is backend and web services.
P01,J23,0,development,No direct evidence for the civil engineering job's core requirements; profile focus is backend and web services.
P01,J24,0,development,No direct evidence for the laboratory research job's core requirements; profile focus is backend and web services.
P01,J25,0,development,No direct evidence for the supply chain/operations job's core requirements; profile focus is backend and web services.
P01,J26,0,development,No direct evidence for the sales operations job's core requirements; profile focus is backend and web services.
P01,J27,0,development,No direct evidence for the product management job's core requirements; profile focus is backend and web services.
P01,J28,0,development,No direct evidence for the IT support job's core requirements; profile focus is backend and web services.
P01,J29,0,development,"Keyword overlap (Python, API, Git) is incidental: no writing evidence and the role does not involve writing production code."
P01,J30,0,development,No direct evidence for the game development job's core requirements; profile focus is backend and web services.
P02,J01,0,development,No direct evidence for the backend Python job's core requirements; profile focus is data analysis and dashboards.
P02,J02,0,development,No direct evidence for the Java services job's core requirements; profile focus is data analysis and dashboards.
P02,J03,0,development,No direct evidence for the full-stack web job's core requirements; profile focus is data analysis and dashboards.
P02,J04,0,development,No direct evidence for the cloud/DevOps job's core requirements; profile focus is data analysis and dashboards.
P02,J05,0,development,No direct evidence for the Android job's core requirements; profile focus is data analysis and dashboards.
P02,J06,2,development,"SQL joins and aggregations, Tableau dashboard and plain-language reporting cover all three requirements."
P02,J07,1,development,"Python/pandas and SQL used for analysis, but no pipeline loading or scheduled jobs."
P02,J08,0,development,Uses Python/pandas but has not trained a neural network.
P02,J09,0,development,No direct evidence for the computer vision job's core requirements; profile focus is data analysis and dashboards.
P02,J10,2,development,Interactive Tableau dashboard plus SQL data preparation and presenting to managers cover the requirements.
P02,J11,2,development,"Fitted and checked a regression in Python, explained results, and completed statistics/probability modules."
P02,J12,0,development,No direct evidence for the security operations job's core requirements; profile focus is data analysis and dashboards.
P02,J13,0,development,No direct evidence for the embedded firmware job's core requirements; profile focus is data analysis and dashboards.
P02,J14,0,development,No direct evidence for the QA automation job's core requirements; profile focus is data analysis and dashboards.
P02,J15,0,development,No direct evidence for the digital marketing job's core requirements; profile focus is data analysis and dashboards.
P02,J16,0,development,No direct evidence for the social/video content job's core requirements; profile focus is data analysis and dashboards.
P02,J17,0,development,No direct evidence for the financial modelling job's core requirements; profile focus is data analysis and dashboards.
P02,J18,0,development,No direct evidence for the audit job's core requirements; profile focus is data analysis and dashboards.
P02,J19,0,development,No direct evidence for the HR/recruiting job's core requirements; profile focus is data analysis and dashboards.
P02,J20,0,development,No direct evidence for the UX design job's core requirements; profile focus is data analysis and dashboards.
P02,J21,0,development,No direct evidence for the graphic design job's core requirements; profile focus is data analysis and dashboards.
P02,J22,0,development,No direct evidence for the mechanical CAD job's core requirements; profile focus is data analysis and dashboards.
P02,J23,0,development,No direct evidence for the civil engineering job's core requirements; profile focus is data analysis and dashboards.
P02,J24,0,development,No direct evidence for the laboratory research job's core requirements; profile focus is data analysis and dashboards.
P02,J25,1,development,Excel pivot tables and stock log are relevant; no coordination or logistics evidence.
P02,J26,1,development,Spreadsheet skills and presenting findings are relevant; no customer follow-up or CRM/pipeline evidence.
P02,J27,1,development,Reads and summarises data for stakeholders; no user-story or product team evidence.
P02,J28,0,development,No direct evidence for the IT support job's core requirements; profile focus is data analysis and dashboards.
P02,J29,0,development,No direct evidence for the technical writing job's core requirements; profile focus is data analysis and dashboards.
P02,J30,0,development,No direct evidence for the game development job's core requirements; profile focus is data analysis and dashboards.
P03,J01,0,development,No direct evidence for the backend Python job's core requirements; profile focus is machine learning and NLP.
P03,J02,0,development,No direct evidence for the Java services job's core requirements; profile focus is machine learning and NLP.
P03,J03,0,development,No direct evidence for the full-stack web job's core requirements; profile focus is machine learning and NLP.
P03,J04,0,development,No direct evidence for the cloud/DevOps job's core requirements; profile focus is machine learning and NLP.
P03,J05,0,development,No direct evidence for the Android job's core requirements; profile focus is machine learning and NLP.
P03,J06,0,development,No direct evidence for the data analysis job's core requirements; profile focus is machine learning and NLP.
P03,J07,1,development,Python scripts that clean and tokenise data are relevant; no SQL loading or scheduled jobs.
P03,J08,2,development,"Trained PyTorch text classifier with train/test split and accuracy/F1, plus a tweet-corpus research role."
P03,J09,2,development,"CNN on MNIST with OpenCV preprocessing and hand-written backpropagation with NumPy matrices covers image DL, OpenCV and linear algebra."
P03,J10,0,development,No direct evidence for the BI dashboards job's core requirements; profile focus is machine learning and NLP.
P03,J11,2,development,"[human adjudication 2026-09-22, self-reported] The profile has a regression on simulated demand data and uses Python for several analysis projects, although the statistics and probability requirement is not stated directly."
P03,J12,0,development,No direct evidence for the security operations job's core requirements; profile focus is machine learning and NLP.
P03,J13,0,development,No direct evidence for the embedded firmware job's core requirements; profile focus is machine learning and NLP.
P03,J14,0,development,No direct evidence for the QA automation job's core requirements; profile focus is machine learning and NLP.
P03,J15,0,development,No direct evidence for the digital marketing job's core requirements; profile focus is machine learning and NLP.
P03,J16,0,development,No direct evidence for the social/video content job's core requirements; profile focus is machine learning and NLP.
P03,J17,0,development,No direct evidence for the financial modelling job's core requirements; profile focus is machine learning and NLP.
